iter	RMSE
246	1.985993402
247	1.985544775
248	1.985151908
249	1.984805646
250	1.984540532
251	1.984287396
252	1.984011543
253	1.983635868
254	1.983319049
255	1.983055454
256	1.982731758
257	1.982439858
258	1.982138603
259	1.981685431
260	1.981466889
261	1.981213097
262	1.980943494
263	1.980720328
264	1.980412021
265	1.980132378
266	1.979862972
267	1.979581891
268	1.979292548
269	1.978921739
270	1.978440546
271	1.978063938
272	1.977724412
273	1.977401349
274	1.977095904
275	1.976607488
276	1.976247521
277	1.976039605
278	1.975730669
279	1.975405892
280	1.975123197
281	1.974809094
282	1.974269474
283	1.973862269
284	1.973506346
285	1.973184387
286	1.972908647
287	1.97268049
288	1.97232439
289	1.972064992
290	1.971821475
291	1.971337755
292	1.971026887
293	1.970664201
294	1.970397827
295	1.970060589
296	1.96976697
297	1.969492952
298	1.96924138
299	1.968895067
300	1.968622122
301	1.968401442
302	1.967885681
303	1.967644816
304	1.967290289
305	1.967092307
306	1.966663783
307	1.96623188
308	1.965816637
309	1.965451358
310	1.96513462
311	1.964837332
312	1.964549204
313	1.964240987
314	1.964015866
315	1.963649303
316	1.963313643
317	1.962991083
318	1.962584812
319	1.96236754
320	1.962016337
321	1.961695498
322	1.961221014
323	1.961012455
324	1.960680453
325	1.960449026
326	1.959953197
327	1.959652714
328	1.959469036
329	1.959151875
330	1.958870078
331	1.958579048
332	1.958279983
333	1.957974232
334	1.957521322
335	1.957325285
336	1.956969411
337	1.9566007
338	1.956232398
339	1.955847525
340	1.955583376
341	1.955330564
342	1.955106954
343	1.954766404
344	1.954471686
345	1.954063716
346	1.953715534
347	1.953226956
348	1.952856002
349	1.952550633
350	1.95237339
351	1.951918077
352	1.951705414
353	1.951414752
354	1.950974089
355	1.950712991
356	1.950387141
357	1.950214699
358	1.949963238
359	1.949543086
360	1.94927679
361	1.948981418
362	1.948640872
363	1.948172118
364	1.947962934
365	1.947755956
366	1.947372057
367	1.947054217
368	1.946877345
369	1.94653366
370	1.946217915
371	1.945817011
372	1.945589533
373	1.945256877
374	1.944959164
375	1.944652533
376	1.944345831
377	1.944172983
378	1.94383796
379	1.94362678
380	1.943256644
381	1.942898026
382	1.942568837
383	1.942245724
384	1.941941612
385	1.941670154
386	1.941472273
387	1.941306952
388	1.940986618
389	1.940559474
390	1.940288234
391	1.939953669
392	1.939687281
393	1.939462802
394	1.939178849
395	1.938928082
396	1.938615007
397	1.938387906
398	1.938148612
399	1.937918625
400	1.937628859
401	1.937422823
402	1.937212376
403	1.936883973
404	1.93672527
405	1.936452048
406	1.93614368
407	1.935768202
408	1.935515588
409	1.935281071
410	1.93509974
411	1.934720891
412	1.934416386
413	1.934204844
414	1.93377444
415	1.933500549
416	1.933231835
417	1.932841677
418	1.932495996
419	1.932097359
420	1.931893517
421	1.931606948
422	1.931340464
423	1.931130835
424	1.930849419
425	1.930549423
426	1.930181905
427	1.929907963
428	1.929464938
429	1.929181212
430	1.92891113
431	1.928618658
432	1.928275363
433	1.928029233
434	1.927687747
435	1.927422972
436	1.927228842
437	1.927043023
438	1.926764251
439	1.926546758
440	1.926312779
441	1.926041905
442	1.925761246
443	1.925397591
444	1.925049148
445	1.924702078
446	1.924409201
447	1.9240928
448	1.923758567
449	1.92349792
450	1.923283741
451	1.922949915
452	1.922783694
453	1.922518252
454	1.922261191
455	1.922009434
456	1.921693593
457	1.921492876
458	1.921319607
459	1.920920529
460	1.920569622
461	1.920264279
462	1.919959759
463	1.919697346
464	1.919501506
465	1.919260235
466	1.918931924
467	1.918656019
468	1.918424272
469	1.918090771
470	1.91782654
471	1.917408962
472	1.917138151
473	1.916852438
474	1.916499512
475	1.91617396
476	1.91599548
477	1.915663212
478	1.915450766
479	1.915196319
480	1.914819283
481	1.914544426
482	1.91421362
483	1.913943312
484	1.913642915
485	1.913386695
486	1.91309946
487	1.912639905
488	1.912390057
489	1.91208069
490	1.911798657
491	1.91153518
492	1.911226665
493	1.910993602
494	1.910749784
495	1.910489161
496	1.910318818
497	1.909990172
498	1.909755117
499	1.909594762
500	1.909176237
501	1.908978939
502	1.908773285
503	1.908625183
504	1.908286407
505	1.907975539
506	1.907677774
507	1.907454738
508	1.907227848
509	1.906955906
510	1.906801005
511	1.906612792
512	1.906475256
513	1.906239371
514	1.906008865
515	1.905775306
516	1.905425644
517	1.905220893
518	1.905018728
519	1.904782586
520	1.904486877
521	1.904147756
522	1.903845812
523	1.903499365
524	1.903223675
525	1.90290973
526	1.902688835
527	1.902296193
528	1.90201194
529	1.901742386
530	1.901493173
531	1.901068838
532	1.900759355
533	1.900452562
534	1.90028435
535	1.900096183
536	1.899840492
537	1.899556362
538	1.899306779
539	1.899053123
540	1.898763547
541	1.898455349
542	1.89822884
543	1.898003062
544	1.897676831
545	1.89735779
546	1.897087492
547	1.896874546
548	1.896615757
549	1.896330853
550	1.896038674
551	1.895899721
552	1.895653612
553	1.895311719
554	1.89512373
555	1.894750424
556	1.894466945
557	1.894336894
558	1.894130577
559	1.893867814
560	1.893718891
561	1.893470331
562	1.893230496
563	1.892964257
564	1.892619207
565	1.892375268
566	1.89213263
567	1.891912693
568	1.891731964
569	1.89158897
570	1.891360436
571	1.891079133
572	1.890837165
573	1.890619708
574	1.890373109
575	1.890108397
576	1.889877223
577	1.889623478
578	1.889406409
579	1.889180929
580	1.888931659
581	1.888719066
582	1.888356251
583	1.88811656
584	1.887875395
585	1.88767495
586	1.887471775
587	1.887231557
588	1.886943906
589	1.886775515
590	1.886525631
591	1.886278578
592	1.885998219
593	1.88573184
594	1.885517795
595	1.885247281
596	1.885032411
597	1.884887087
598	1.884606235
599	1.884415406
600	1.884164402
601	1.883954272
602	1.883621231
603	1.883494035
604	1.883277376
605	1.883122183
606	1.882930109
607	1.882710118
608	1.882456675
609	1.882093844
610	1.881937541
611	1.881681568
612	1.881481497
613	1.881234202
614	1.880993201
615	1.880839692
616	1.880645783
617	1.880394641
618	1.880143418
619	1.879937419
620	1.879648183
621	1.879433007
622	1.879231975
623	1.878943295
624	1.878717283
625	1.878518354
626	1.878325571
627	1.878079654
628	1.877808018
629	1.877664275
630	1.877496749
631	1.877299985
632	1.877087562
633	1.876915943
634	1.876678591
635	1.876441954
636	1.876256114
637	1.87610488
638	1.875849075
639	1.87567371
640	1.875469538
641	1.875212333
642	1.874962416
643	1.874713716
644	1.874540491
645	1.874346637
646	1.874077336
647	1.873923875
648	1.873714747
649	1.873494018
650	1.873304007
651	1.87301772
652	1.872801522
653	1.872559863
654	1.872318358
655	1.87217565
656	1.871938838
657	1.871526174
658	1.871342223
659	1.871067099
660	1.870865007
661	1.870740698
662	1.870544159
663	1.87034401
664	1.870130967
665	1.869825017
666	1.869565636
667	1.869411328
668	1.869156928
669	1.868983087
670	1.868835372
671	1.868669939
672	1.868493003
673	1.868213346
674	1.867972637
675	1.867786248
676	1.867567314
677	1.867333717
678	1.86715255
679	1.866901628
680	1.866696427
681	1.866521616
682	1.866298141
683	1.866020771
684	1.865786301
685	1.865555834
686	1.865316697
687	1.864990168
688	1.86484653
689	1.864653854
690	1.864443672
691	1.864241961
692	1.864003853
693	1.863695926
694	1.863471399
695	1.863206597
696	1.863047852
697	1.862818793
698	1.862588114
699	1.862385925
700	1.862193125
701	1.8618892
702	1.861704708
703	1.861528958
704	1.861344911
705	1.861148282
706	1.86091793
707	1.860728529
708	1.860598758
709	1.860388559
710	1.860161341
711	1.85992946
712	1.859641314
713	1.859473926
714	1.859265169
715	1.858966231
716	1.85878053
717	1.858572854
718	1.8583419
719	1.858173046
720	1.858031261
721	1.857840835
722	1.857624622
723	1.857437332
724	1.857206972
725	1.857020308
726	1.856858441
727	1.856640785
728	1.856395791
729	1.856216095
730	1.856031862
731	1.855801059
732	1.855588966
733	1.855383255
734	1.855178118
735	1.854953249
736	1.854816862
737	1.85453109
738	1.854318246
739	1.85404638
740	1.853820115
741	1.853587386
742	1.853397486
743	1.853176548
744	1.852936383
745	1.85273877
746	1.852554349
747	1.852322733
748	1.852050194
749	1.851886356
750	1.85170251
751	1.851510234
752	1.851299487
753	1.851061502
754	1.85089667
755	1.850705832
756	1.85047021
757	1.850295863
758	1.850168489
759	1.849987953
760	1.849837865
761	1.849629664
762	1.849333578
763	1.849138778
764	1.848862701
765	1.848662006
766	1.848426506
767	1.848280679
768	1.847966672
769	1.847801916
770	1.847548615
771	1.847360438
772	1.847158097
773	1.84689215
774	1.84674984
775	1.846579512
776	1.846384809
777	1.84612234
778	1.845883948
779	1.84567645
780	1.845466158
781	1.845277805
782	1.845050128
783	1.844807583
784	1.844689296
785	1.844423081
786	1.844278828
787	1.843990442
788	1.843761007
789	1.843439402
790	1.843171573
791	1.843027521
792	1.842805339
793	1.842569312
794	1.842410856
795	1.842292814
796	1.84212091
797	1.841926041
798	1.841759229
799	1.841491356
800	1.841276796
801	1.841035779
802	1.840822372
803	1.84062484
804	1.840470322
805	1.840232154
806	1.840035101
807	1.83981474
808	1.83955453
809	1.839399759
810	1.839200537
811	1.839021967
812	1.83878865
813	1.838499379
814	1.838275962
815	1.83813251
816	1.837902831
817	1.837760274
818	1.837621418
819	1.837429263
820	1.837305456
821	1.83713175
822	1.836917889
823	1.836720793
824	1.836504747
825	1.836367683
826	1.836182174
827	1.836007892
828	1.835759742
829	1.835601158
830	1.83544522
831	1.835260446
832	1.83508675
833	1.834893934
834	1.834685077
835	1.834546908
836	1.8343871
837	1.8341756
838	1.83404459
839	1.83373038
840	1.833560893
841	1.833401904
842	1.833236549
843	1.833063414
844	1.83289844
845	1.832735354
846	1.832547078
847	1.832313702
848	1.832156704
849	1.832036972
850	1.831930565
851	1.831706119
852	1.831420388
853	1.831183944
854	1.830993708
855	1.830712221
856	1.830442771
857	1.830310574
858	1.830145152
859	1.829929274
860	1.829746269
861	1.829568062
862	1.829330402
863	1.829200232
864	1.829014242
865	1.828816276
866	1.828633645
867	1.828387086
868	1.828184949
869	1.828016567
870	1.827849032
871	1.827624736
872	1.82740622
873	1.827146557
874	1.826977491
875	1.826766852
876	1.826462941
877	1.826255629
878	1.826079894
879	1.825795429
880	1.825546745
881	1.825364613
882	1.825206192
883	1.825060191
884	1.82489914
885	1.824655489
886	1.824510918
887	1.824311184
888	1.824105442
889	1.823952669
890	1.823830413
891	1.823654591
892	1.823446913
893	1.823208237
894	1.823063872
895	1.822735109
896	1.822528768
897	1.822291071
898	1.822044194
899	1.821902724
900	1.821753226
901	1.821500612
902	1.821269114
903	1.821047871
904	1.820817999
905	1.820621101
906	1.820470911
907	1.820238484
908	1.820022466
909	1.819836259
910	1.819597485
911	1.819474365
912	1.819235804
913	1.819055782
914	1.818859581
915	1.818686555
916	1.818544431
917	1.818336349
918	1.818090051
919	1.817886326
920	1.817709393
921	1.817507935
922	1.81736429
923	1.817181086
924	1.81705213
925	1.816909268
926	1.816789356
927	1.816619142
928	1.816453486
929	1.816212627
930	1.815903687
931	1.815736676
932	1.815592214
933	1.815359936
934	1.815205616
935	1.815038498
936	1.814880611
937	1.814729525
938	1.814533916
939	1.814416328
940	1.814252548
941	1.814080227
942	1.813931232
943	1.813713631
944	1.813483545
945	1.813287878
946	1.813173634
947	1.813030004
948	1.812819193
949	1.812707668
950	1.812503784
951	1.812335764
952	1.812206553
953	1.812060383
954	1.811791388
955	1.811585844
956	1.81140159
957	1.811278995
958	1.81115498
959	1.810923409
960	1.810687282
961	1.810473431
962	1.810176898
963	1.80994368
964	1.809813664
965	1.80959253
966	1.809455289
967	1.809294367
968	1.809148674
969	1.808985498
970	1.808773403
971	1.808546412
972	1.808385206
973	1.80815143
974	1.80798211
975	1.807756442
976	1.807543016
977	1.807402719
978	1.807247154
979	1.807010131
980	1.806835849
981	1.806705301
982	1.806532962
983	1.806381851
984	1.806245418
985	1.806081666
986	1.805859403
987	1.805729351
988	1.805552539
989	1.805362973
990	1.805262221
991	1.805112568
992	1.80495244
993	1.804772325
994	1.804525257
995	1.80438384
996	1.804182569
997	1.80400705
998	1.803842155
999	1.803645907
